CHEQUEID;LAGERID;KOLVO
22419;28;2.0
22421;15;1.0
22421;41;1.0
22421;23;2.0
22421;25;2.0
22421;72;1.0
22426;41;2.0
22426;44;5.0
22428;73;1.0
22428;74;1.0
22429;8;1.0
22429;17;1.0
22429;75;1.0
22429;76;1.0
22431;29;1.0
22431;77;5.0
22431;27;1.0
22431;69;1.0
22434;3;1.0
22434;53;2.0
22434;30;1.0
22434;71;2.0
22434;78;3.0
22435;44;7.0
22435;79;1.0
22439;29;2.0
22439;19;1.0
22439;80;1.0
22439;76;1.0
22445;15;3.0
22446;42;1.0
22446;81;1.0
22446;7;1.0
22446;27;1.0
22446;55;2.0
22446;67;1.0
22447;20;1.0
22447;75;1.0
22447;10;1.0
22448;2;1.0
22451;54;2.0
22457;82;1.0
22457;46;2.0
22460;15;2.0
22460;27;2.0
22460;55;1.0
22463;2;2.0
22463;27;1.0
22467;15;1.0
22467;83;1.0
22467;61;1.0
22467;31;1.0
22467;54;1.0
22467;27;1.0
22470;15;1.0
22470;40;1.0
22469;51;1.0
22469;3;1.0
22469;81;1.0
22469;60;1.0
22471;48;2.0
22471;7;2.0
22471;14;2.0
22471;64;1.0
22471;55;2.0
22474;40;1.0
22478;15;1.0
22478;29;1.0
22478;72;1.0
22478;19;1.0
22478;65;1.0
22479;15;2.0
22479;29;1.0
22479;53;2.0
22479;7;1.0
22479;46;1.0
22479;27;2.0
22480;2;6.0
22481;53;1.0
22481;25;1.0
22481;7;1.0
22481;26;1.0
22481;77;1.0
22481;58;1.0
22481;28;1.0
22483;15;1.0
22483;22;2.0
22483;40;1.0
22483;25;1.0
22483;84;1.0
22483;63;1.0
22484;2;1.0
22484;15;1.0
22484;29;1.0
22484;11;1.0
22484;7;2.0
22484;54;1.0
22484;79;1.0
22485;2;3.0
22485;15;1.0
22485;30;2.0
22485;44;7.0
22485;33;1.0
22485;13;1.0
22485;8;1.0
22485;62;1.0
22485;80;2.0
22485;46;2.0
22489;36;1.0
22489;66;1.0
22489;26;1.0
22489;39;1.0
22489;55;1.0
22492;2;1.0
22495;29;2.0
22495;53;2.0
22495;39;2.0
22496;29;1.0
22499;15;1.0
22499;42;1.0
22499;7;1.0
22499;66;1.0
22499;64;1.0
22502;24;1.0
22502;85;1.0
22503;44;3.0
22503;7;1.0
22503;69;2.0
22506;64;1.0
22507;19;1.0
22507;64;1.0
22510;15;1.0
22510;3;1.0
22510;84;1.0
22510;26;1.0
22510;28;1.0
22513;21;1.0
22513;86;1.0
22513;87;1.0
22521;51;1.0
22521;88;1.0
22521;81;1.0
22521;38;1.0
22521;26;1.0
22521;55;1.0
22521;69;2.0
22524;29;2.0
22524;21;5.0
22531;38;1.0
22531;49;1.0
22531;89;1.0
22534;51;1.0
22534;4;1.0
22534;5;1.0
22534;26;1.0
22534;27;1.0
22537;27;2.0
22540;83;1.0
22540;29;1.0
22540;72;1.0
22540;28;1.0
22547;8;1.0
22547;14;1.0
22547;90;1.0
22547;57;1.0
22547;69;1.0
22550;7;1.0
22550;14;1.0
22550;24;1.0
22550;69;1.0
22551;53;1.0
22551;31;1.0
22551;42;1.0
22551;79;1.0
22553;83;1.0
22553;66;2.0
22553;19;5.0
22554;27;1.0
22554;91;1.0
22554;28;1.0
22556;3;1.0
22556;81;1.0
22560;83;2.0
22560;29;1.0
22560;53;1.0
22560;92;2.0
22560;76;1.0
22561;7;1.0
22561;55;1.0
22561;67;1.0
22562;3;2.0
22564;2;2.0
22564;7;1.0
22567;93;1.0
22567;50;1.0
22569;39;1.0
22570;23;1.0
22570;39;1.0
22570;94;1.0
22570;78;1.0
22570;55;1.0
22570;69;1.0
22571;3;2.0
22572;42;1.0
22572;6;2.0
22572;63;1.0
22573;51;2.0
22573;15;2.0
22573;29;2.0
22573;3;1.0
22573;53;2.0
22573;30;1.0
22573;44;7.0
22573;32;1.0
22573;7;1.0
22573;33;2.0
22573;26;2.0
22573;79;1.0
22573;75;1.0
22573;27;2.0
22573;64;2.0
22573;85;1.0
22573;74;3.0
22574;36;1.0
22574;29;1.0
22574;26;1.0
22574;27;1.0
22576;50;1.0
22576;28;1.0
22576;69;2.0
22577;2;2.0
22577;15;1.0
22577;3;1.0
22578;14;1.0
22578;39;1.0
22578;10;1.0
22581;36;1.0
22581;15;1.0
22581;23;1.0
22581;44;3.0
22581;76;1.0
22581;69;1.0
22587;29;1.0
22587;25;1.0
22587;27;1.0
22592;95;2.0
22592;3;1.0
22592;19;2.0
22598;3;1.0
22598;21;1.0
22601;83;1.0
22601;25;1.0
22604;2;6.0
22604;18;1.0
22617;2;1.0
22617;23;1.0
22617;7;1.0
22617;58;1.0
22617;55;1.0
22617;69;1.0
22618;3;1.0
22618;62;1.0
22618;64;1.0
22621;75;2.0
22624;77;10.0
22625;15;1.0
22625;29;1.0
22625;42;2.0
22625;14;1.0
22625;58;1.0
22625;69;1.0
22626;18;1.0
22626;19;1.0
22626;80;1.0
22626;24;1.0
22626;86;1.0
22626;96;1.0
22626;47;2.0
22631;83;1.0
22631;97;1.0
22635;4;1.0
22635;30;1.0
22635;32;1.0
22635;86;1.0
22635;85;1.0
22635;69;1.0
22638;3;1.0
22638;53;1.0
22638;30;2.0
22638;42;1.0
22638;44;9.0
22638;34;1.0
22638;28;1.0
22641;29;2.0
22641;53;2.0
22641;49;1.0
22644;15;1.0
22644;29;1.0
22644;53;1.0
22644;30;1.0
22644;98;1.0
22644;88;1.0
22644;81;1.0
22644;18;1.0
22644;16;4.0
22644;14;1.0
22644;17;1.0
22644;75;2.0
22644;99;2.0
22644;47;2.0
22644;69;2.0
22644;67;1.0
22648;15;2.0
22648;17;1.0
22648;50;1.0
22648;91;2.0
22649;7;1.0
22649;14;1.0
22654;29;2.0
22654;3;1.0
22654;31;2.0
22654;42;2.0
22654;81;2.0
22654;14;1.0
22657;15;1.0
22657;32;1.0
22658;15;2.0
22658;30;2.0
22658;21;1.0
22662;36;3.0
22662;25;2.0
22662;38;1.0
22662;78;1.0
22662;91;1.0
22662;55;1.0
22662;68;1.0
22663;32;1.0
22663;88;1.0
22663;26;1.0
22663;58;1.0
22664;15;1.0
22667;80;1.0
22667;24;1.0
22668;3;1.0
22671;29;2.0
22671;32;1.0
22671;100;3.0
22671;101;1.0
22675;15;2.0
22679;15;3.0
22679;44;2.0
22679;26;1.0
22685;3;2.0
22688;2;2.0
22691;48;5.0
22691;48;1.0
22691;29;1.0
22691;53;1.0
22691;42;2.0
22691;59;1.0
22691;58;1.0
22691;69;2.0
22694;5;1.0
22694;25;1.0
22694;14;1.0
22694;21;1.0
22703;95;2.0
22703;51;1.0
22703;15;2.0
22703;53;2.0
22703;4;1.0
22703;31;2.0
22703;82;1.0
22703;42;2.0
22703;44;2.0
22703;25;2.0
22703;56;1.0
22703;32;1.0
22703;6;1.0
22703;18;1.0
22703;26;2.0
22703;79;1.0
22704;80;2.0
22705;15;1.0
22707;79;1.0
22707;93;1.0
22707;39;1.0
22707;90;2.0
22707;58;1.0
22707;55;1.0
22710;2;24.0
22711;15;2.0
22711;25;2.0
22711;54;1.0
22711;55;1.0
22712;55;1.0
22716;15;1.0
22716;83;1.0
22716;3;1.0
22716;82;1.0
22716;44;10.0
22716;33;1.0
22716;89;1.0
22719;33;2.0
22721;59;1.0
22721;102;1.0
22721;14;2.0
22721;21;1.0
22721;90;3.0
22720;51;1.0
22720;36;1.0
22720;15;1.0
22720;53;1.0
22720;4;1.0
22720;26;1.0
22726;2;12.0
22727;36;1.0
22727;15;1.0
22727;7;1.0
22727;26;6.0
22727;103;1.0
22727;79;1.0
22727;104;4.0
22727;69;1.0
22732;15;1.0
22732;3;1.0
22732;26;1.0
22736;36;1.0
22736;8;1.0
22736;75;1.0
22736;55;1.0
22738;18;1.0
22738;17;1.0
22738;99;1.0
22738;70;2.0
22740;29;2.0
22740;3;2.0
22741;29;1.0
22741;30;1.0
22741;31;1.0
22741;65;3.0
22741;14;1.0
22744;14;1.0
22744;21;1.0
22747;84;1.0
22747;20;1.0
22747;26;1.0
22747;14;1.0
22747;17;1.0
22747;90;1.0
22748;15;1.0
22748;41;1.0
22748;44;5.0
22748;78;1.0
22748;69;1.0
22751;29;1.0
22751;23;2.0
22758;44;11.0
22758;81;1.0
22758;43;1.0
22758;86;2.0
22758;50;1.0
22758;97;2.0
22761;51;1.0
22761;29;1.0
22761;11;1.0
22761;30;1.0
22761;97;1.0
22761;47;1.0
22761;55;1.0
22765;5;6.0
22769;15;1.0
22769;67;2.0
22770;15;1.0
22770;13;1.0
22770;80;1.0
22773;15;1.0
22773;29;2.0
22773;53;1.0
22773;60;1.0
22797;15;11.0
22797;60;2.0
22800;29;2.0
22800;42;2.0
22800;44;6.0
22803;15;1.0
22803;41;1.0
22803;7;1.0
22803;33;1.0
22803;13;1.0
22803;67;1.0
22807;51;2.0
22807;29;2.0
22807;46;1.0
22807;39;1.0
22807;27;1.0
22813;77;3.0
22816;83;1.0
22816;88;1.0
22816;69;1.0
22819;38;1.0
22819;60;1.0
22820;105;1.0
22821;18;2.0
22821;45;2.0
22823;51;2.0
22823;15;3.0
22823;29;1.0
22823;82;1.0
22823;5;6.0
22823;59;1.0
22823;34;1.0
22823;90;2.0
22823;50;2.0
22823;69;3.0
22824;95;1.0
22824;51;1.0
22824;15;2.0
22824;29;2.0
22824;30;1.0
22824;31;1.0
22824;88;1.0
22824;81;2.0
22824;84;1.0
22824;78;1.0
22824;96;1.0
22824;28;1.0
22824;69;2.0
22826;53;2.0
22826;52;5.0
22828;30;1.0
22828;31;1.0
22828;84;1.0
22828;75;1.0
22828;46;1.0
22828;96;1.0
22831;29;1.0
22831;59;1.0
22831;8;1.0
22831;80;1.0
22832;52;4.0
22832;81;2.0
22834;29;2.0
22834;31;1.0
22834;42;2.0
22834;81;2.0
22834;19;2.0
22834;97;3.0
22835;29;2.0
22835;30;1.0
22835;31;1.0
22835;7;1.0
22835;38;1.0
22835;17;1.0
22835;27;1.0
22835;55;1.0
22836;7;10.0
22836;90;6.0
22836;91;8.0
22838;44;7.0
22838;60;1.0
22838;85;1.0
22839;66;1.0
22840;48;5.0
22840;48;1.0
22840;42;1.0
22841;50;10.0
22841;27;2.0
22842;51;1.0
22842;42;2.0
22842;71;2.0
22842;32;1.0
22842;6;2.0
22842;52;1.0
22842;26;1.0
22842;21;1.0
22842;75;1.0
22842;27;2.0
22842;10;2.0
22845;15;2.0
22845;29;2.0
22846;14;1.0
22847;15;2.0
22847;83;2.0
22847;29;1.0
22847;61;3.0
22847;3;1.0
22847;4;1.0
22847;30;1.0
22847;42;1.0
22847;81;1.0
22847;7;1.0
22847;20;1.0
22847;54;1.0
22847;26;1.0
22847;14;1.0
22849;44;22.0
22852;2;1.0
22852;29;1.0
22852;11;1.0
22852;30;1.0
22852;71;1.0
22852;59;1.0
22852;65;1.0
22852;8;1.0
22852;14;1.0
22852;90;1.0
22852;10;1.0
22853;36;1.0
22853;15;2.0
22853;83;1.0
22853;41;1.0
22853;44;6.0
22853;25;1.0
22853;13;1.0
22853;65;1.0
22853;79;1.0
22853;14;1.0
22853;27;2.0
22853;69;1.0
22855;36;1.0
22855;18;1.0
22855;14;1.0
22856;9;2.0
22857;105;2.0
22857;106;1.0
22857;70;24.0
22858;9;2.0
22859;51;1.0
22859;15;1.0
22859;25;1.0
22859;6;3.0
22859;33;1.0
22859;38;1.0
22859;69;1.0
22860;29;2.0
22860;53;2.0
22860;30;2.0
22860;42;2.0
22860;105;2.0
22860;70;50.0
22864;105;2.0
22864;106;1.0
22864;70;24.0
22867;3;1.0
22867;40;1.0
22867;88;1.0
22867;7;1.0
22867;21;1.0
22867;89;1.0
22867;96;1.0
22867;27;1.0
22867;55;1.0
22867;69;3.0
22868;36;1.0
22868;29;1.0
22868;3;2.0
22868;44;9.0
22870;15;1.0
22870;29;1.0
22870;30;1.0
22870;8;1.0
22870;14;1.0
22870;55;1.0
22870;69;2.0
22872;77;10.0
22873;15;2.0
22873;29;1.0
22873;88;1.0
22873;66;2.0
22873;13;2.0
22873;59;1.0
22873;34;1.0
22873;43;1.0
22876;2;3.0
22877;84;1.0
22877;46;1.0
22881;14;1.0
22881;89;1.0
22881;78;1.0
22881;27;2.0
22884;29;1.0
22884;75;1.0
22884;78;1.0
22887;15;1.0
22887;22;1.0
22887;8;1.0
22887;60;1.0
22887;67;1.0
22889;13;1.0
22889;28;1.0
22889;55;1.0
22890;36;1.0
22890;25;1.0
22890;18;1.0
22890;103;1.0
22890;73;1.0
22890;47;1.0
22892;51;1.0
22892;83;3.0
22892;29;1.0
22892;61;2.0
22892;3;2.0
22892;30;1.0
22892;41;1.0
22892;105;1.0
22892;7;2.0
22892;55;1.0
22892;69;2.0
22893;14;1.0
22894;8;1.0
22894;21;1.0
22894;39;1.0
22896;29;1.0
22896;27;2.0
22897;22;1.0
22897;29;1.0
22897;65;1.0
22897;69;3.0
22898;55;1.0
22899;22;1.0
22902;81;1.0
22902;26;5.0
22902;27;2.0
22903;51;1.0
22903;2;2.0
22903;29;1.0
22903;93;1.0
22903;27;1.0
22905;2;1.0
22905;106;1.0
22905;77;1.0
22909;96;2.0
22911;79;1.0
22911;87;1.0
22911;27;2.0
22911;107;1.0
22918;15;1.0
22918;21;1.0
22925;40;1.0
22925;41;1.0
22925;105;1.0
22925;75;1.0
22925;76;1.0
22926;13;1.0
22929;15;2.0
22929;29;2.0
22929;30;1.0
22929;41;2.0
22929;56;1.0
22929;52;1.0
22929;7;1.0
22929;102;1.0
22929;108;1.0
22929;17;1.0
22929;86;1.0
22929;89;1.0
22929;28;2.0
22931;51;1.0
22931;4;1.0
22931;30;1.0
22931;31;1.0
22931;23;1.0
22931;66;1.0
22931;101;2.0
22931;93;1.0
22931;69;1.0
22932;44;7.0
22932;60;1.0
22932;85;1.0
22934;26;2.0
22935;81;1.0
22935;26;5.0
22935;27;2.0
22936;1;1.0
22936;87;1.0
22946;51;1.0
22946;2;3.0
22946;15;1.0
22946;29;1.0
22946;84;1.0
22946;108;1.0
22946;96;1.0
22949;95;2.0
22949;15;2.0
22949;29;1.0
22949;71;1.0
22949;25;1.0
22949;32;1.0
22949;81;1.0
22949;109;6.0
22949;14;1.0
22949;9;1.0
22954;44;12.0
22954;60;1.0
22954;85;1.0
22956;17;1.0
22959;54;2.0
22960;2;3.0
22960;76;1.0
22963;25;1.0
22966;44;4.0
22967;15;2.0
22967;22;2.0
22967;18;2.0
22967;27;2.0
22968;15;1.0
22968;29;1.0
22968;107;1.0
22970;3;1.0
22970;19;1.0
22970;43;1.0
22976;99;3.0
22980;15;2.0
22980;30;2.0
22980;7;2.0
22980;8;1.0
22980;14;1.0
22980;21;1.0
22982;51;1.0
22982;15;1.0
22982;29;1.0
22982;30;1.0
22982;41;1.0
22982;42;1.0
22982;44;5.0
22982;81;1.0
22982;75;1.0
22981;29;1.0
22981;32;1.0
22981;105;1.0
22981;109;2.0
22981;86;1.0
22984;51;1.0
22984;15;2.0
22984;83;3.0
22984;43;1.0
22986;21;1.0
22986;106;4.0
22986;74;2.0
22990;15;1.0
22990;82;1.0
22990;38;1.0
22990;74;2.0
22991;7;1.0
22991;76;1.0
22991;85;1.0
22991;69;2.0
22994;104;6.0
22995;92;2.0
22995;89;1.0
22997;106;1.0
23000;15;1.0
23000;25;1.0
23000;62;1.0
23000;106;1.0
23001;15;1.0
23001;17;1.0
23001;10;1.0
23002;54;1.0
23003;15;1.0
23003;27;2.0
23009;94;2.0
23009;78;1.0
23009;91;1.0
23012;15;1.0
23012;13;1.0
23012;20;1.0
23012;109;2.0
23012;78;1.0
23012;27;1.0
23012;107;1.0
23015;12;1.0
23015;96;1.0
23015;28;1.0
23015;69;1.0
23021;54;1.0
23022;59;4.0
23022;34;4.0
23022;9;4.0
23025;25;2.0
23025;21;1.0
23031;23;1.0
23033;7;1.0
23033;27;1.0
23036;48;5.0
23036;48;1.0
23036;77;2.0
23036;107;1.0
23038;29;2.0
23038;3;1.0
23038;41;1.0
23038;42;1.0
23038;13;1.0
23038;59;1.0
23038;16;4.0
23038;69;2.0
23044;15;2.0
23044;22;1.0
23044;44;7.0
23044;26;1.0
23044;104;1.0
23044;99;1.0
23044;27;2.0
23044;67;1.0
23042;30;1.0
23042;42;1.0
23042;88;1.0
23042;81;1.0
23042;8;1.0
23042;78;1.0
23045;39;2.0
23046;15;2.0
23046;7;1.0
23046;101;1.0
23046;26;2.0
23046;79;1.0
23046;86;1.0
23046;27;1.0
23046;64;1.0
23047;32;1.0
23047;8;1.0
23047;17;1.0
23047;69;1.0
23049;15;2.0
23049;103;1.0
23049;78;1.0
23049;10;1.0
23049;110;1.0
23051;42;1.0
23051;18;1.0
23051;103;1.0
23051;21;1.0
23051;93;2.0
23051;27;1.0
23054;2;6.0
23054;15;1.0
23054;22;1.0
23054;71;1.0
23054;34;1.0
23054;69;1.0
23053;15;1.0
23053;22;3.0
23053;31;1.0
23053;42;2.0
23053;71;1.0
23053;32;1.0
23053;84;1.0
23053;8;1.0
23053;109;3.0
23053;39;1.0
23053;27;1.0
23053;91;1.0
23053;10;2.0
23056;36;2.0
23056;2;6.0
23056;15;1.0
23056;29;2.0
23056;41;2.0
23056;23;2.0
23056;25;2.0
23056;72;2.0
23056;69;1.0
23058;42;1.0
23058;60;1.0
23058;80;1.0
23058;27;3.0
23061;15;3.0
23061;44;3.0
23061;69;1.0
23065;29;2.0
23065;30;1.0
23065;23;1.0
23065;25;2.0
23065;79;1.0
23065;91;1.0
23065;10;1.0
23066;7;1.0
23066;17;1.0
23066;75;1.0
23066;46;2.0
23066;28;1.0
23067;29;2.0
23067;109;3.0
23068;22;1.0
23068;31;2.0
23076;46;1.0
23076;27;1.0
23077;51;1.0
23077;53;1.0
23077;31;2.0
23077;88;1.0
23080;29;1.0
23080;81;1.0
23080;8;1.0
23080;64;1.0
23083;22;2.0
23083;29;1.0
23083;11;1.0
23083;31;1.0
23083;42;1.0
23083;32;1.0
23083;81;1.0
23083;7;1.0
23083;38;1.0
23083;59;1.0
23083;34;1.0
23083;111;1.0
23083;109;4.0
23083;14;1.0
23083;17;1.0
23086;2;6.0
23086;84;1.0
23086;101;1.0
23086;91;2.0
23093;15;1.0
23093;66;1.0
23093;54;1.0
23094;44;4.0
23094;13;1.0
23094;54;1.0
23094;21;1.0
23098;41;2.0
23098;13;2.0
23098;73;2.0
23098;108;1.0
23098;94;1.0
23099;15;2.0
23099;3;1.0
23099;41;2.0
23099;72;1.0
23100;95;1.0
23100;51;1.0
23100;29;1.0
23100;3;1.0
23100;42;1.0
23100;105;1.0
23100;34;1.0
23100;109;2.0
23100;108;1.0
23102;79;1.0
23102;39;1.0
23103;15;1.0
23103;65;1.0
23103;75;1.0
23103;10;1.0
23104;15;1.0
23104;22;1.0
23104;29;1.0
23104;61;1.0
23104;7;1.0
23104;104;1.0
23104;86;1.0
23104;89;1.0
23107;3;1.0
23107;53;1.0
23107;7;1.0
23107;38;1.0
23107;35;1.0
23111;29;1.0
23111;30;1.0
23111;41;1.0
23111;12;1.0
23111;89;1.0
23115;78;1.0
23115;110;1.0
23117;59;4.0
23117;34;4.0
23117;9;4.0
23121;15;2.0
23121;29;1.0
23121;30;1.0
23121;23;1.0
23121;32;1.0
23121;81;1.0
23121;62;1.0
23121;9;1.0
23121;77;5.0
23122;61;2.0
23122;3;1.0
23122;82;1.0
23122;38;1.0
23123;15;2.0
23123;7;1.0
23123;38;1.0
23123;49;1.0
23123;14;1.0
23123;9;1.0
23123;106;1.0
23123;91;1.0
23123;10;1.0
23125;28;1.0
23128;15;1.0
23128;44;7.0
23128;7;1.0
23128;13;1.0
23128;26;1.0
23128;43;1.0
23132;15;1.0
23132;20;1.0
23132;14;1.0
23132;39;1.0
23132;94;1.0
23134;15;1.0
23134;75;1.0
23136;51;1.0
23136;29;1.0
23136;52;1.0
23136;14;1.0
23136;21;1.0
23137;35;1.0
23137;112;1.0
23137;113;1.0
23137;9;2.0
23137;47;2.0
23139;29;2.0
23139;7;1.0
23139;79;1.0
23139;97;1.0
23139;27;1.0
23139;10;2.0
23144;1;1.0
23144;58;1.0
23148;95;1.0
23148;51;1.0
23148;15;2.0
23148;29;2.0
23148;30;2.0
23148;5;2.0
23148;44;6.0
23148;32;2.0
23148;52;2.0
23148;114;2.0
23148;81;1.0
23148;38;1.0
23148;20;1.0
23148;35;2.0
23148;112;1.0
23148;21;1.0
23148;113;1.0
23148;75;1.0
23148;63;1.0
23148;106;1.0
23148;78;1.0
23148;110;1.0
23149;77;1.0
23152;29;1.0
23152;79;1.0
23152;106;1.0
23154;95;1.0
23154;15;1.0
23154;29;1.0
23154;4;1.0
23154;42;2.0
23154;25;1.0
23154;81;1.0
23154;75;1.0
23154;78;1.0
23156;72;2.0
23156;7;1.0
23156;109;4.0
23156;21;1.0
23156;108;1.0
23156;110;1.0
23160;95;1.0
23160;31;1.0
23160;42;1.0
23160;71;1.0
23160;79;1.0
23160;17;1.0
23160;63;1.0
23160;28;1.0
23163;15;2.0
23167;15;2.0
23167;4;1.0
23167;30;1.0
23167;31;2.0
23167;71;2.0
23167;44;5.0
23167;60;1.0
23167;109;4.0
23167;93;1.0
23168;51;1.0
23168;22;3.0
23168;29;1.0
23168;4;1.0
23168;31;1.0
23168;42;1.0
23168;32;1.0
23168;7;1.0
23168;39;1.0
23168;28;1.0
23169;2;4.0
23169;15;1.0
23169;41;1.0
23169;114;1.0
23169;26;1.0
23169;109;1.0
23169;69;1.0
23178;104;2.0
23179;29;1.0
23179;44;4.0
23179;114;1.0
23179;60;1.0
23179;9;1.0
23181;29;1.0
23181;114;1.0
23181;14;1.0
23187;15;2.0
23187;26;1.0
23187;103;1.0
23187;8;1.0
23187;111;1.0
23187;112;2.0
23187;21;1.0
23187;46;1.0
23187;47;2.0
23187;27;1.0
23188;15;2.0
23188;83;2.0
23189;70;6.0
23189;74;2.0
23190;1;1.0
23190;29;2.0
23190;13;2.0
23197;40;1.0
23197;101;1.0
23197;28;1.0
23198;83;2.0
23198;104;2.0
23201;15;2.0
23201;26;1.0
23201;103;1.0
23201;8;1.0
23201;111;1.0
23201;112;2.0
23201;21;1.0
23201;46;1.0
23201;47;2.0
23201;27;1.0
23204;29;1.0
23204;25;2.0
23204;34;1.0
23206;15;1.0
23206;22;2.0
23206;30;1.0
23206;31;1.0
23206;42;1.0
23206;71;1.0
23206;88;1.0
23212;54;4.0
23212;73;1.0
23212;104;6.0
23213;15;2.0
23213;29;1.0
23213;88;1.0
23213;7;1.0
23213;60;1.0
23213;14;1.0
23213;69;2.0
23216;14;2.0
23219;17;1.0
23220;2;2.0
23220;79;1.0
23228;2;2.0
23228;15;1.0
23228;29;1.0
23228;53;1.0
23228;41;1.0
23228;23;1.0
23228;25;1.0
23228;106;1.0
23229;30;3.0
23229;71;1.0
23235;30;1.0
23235;82;1.0
23235;59;1.0
23235;49;2.0
23235;111;2.0
23235;113;1.0
23236;44;9.0
23236;84;2.0
23243;38;1.0
23243;89;1.0
23246;41;2.0
23246;42;1.0
23246;23;2.0
23246;7;2.0
23246;69;1.0
23249;31;2.0
23249;42;1.0
23249;81;1.0
23249;10;1.0
23253;36;1.0
23253;20;2.0
23253;17;1.0
23258;15;2.0
23258;4;1.0
23258;11;1.0
23258;41;1.0
23258;12;2.0
23258;14;1.0
23258;93;1.0
23258;10;1.0
23258;55;1.0
23260;15;2.0
23260;67;1.0
23264;15;1.0
23264;3;1.0
23264;25;1.0
23264;32;1.0
23264;105;1.0
23264;7;1.0
23264;14;1.0
23264;21;1.0
23268;8;4.0
23270;15;1.0
23270;9;1.0
23270;28;1.0
23272;15;2.0
23272;29;1.0
23272;41;1.0
23272;23;1.0
23272;25;1.0
23272;13;1.0
23272;101;1.0
23272;60;1.0
23280;7;2.0
23281;8;1.0
23283;114;1.0
23283;60;1.0
23285;17;1.0
23288;54;1.0
23290;54;2.0
23290;93;1.0
23291;53;1.0
23291;42;2.0
23291;7;1.0
23291;59;2.0
23292;18;1.0
23293;1;1.0
23293;22;1.0
23293;30;1.0
23293;44;4.0
23293;33;1.0
23293;109;4.0
23294;1;2.0
23294;8;1.0
23294;39;1.0
23294;10;1.0
23298;7;2.0
23298;8;1.0
23298;91;1.0
23298;55;1.0
23301;2;5.0
23320;8;1.0
23320;58;1.0
23340;32;1.0
23340;33;1.0
23340;103;1.0
23340;109;4.0
23343;112;1.0
23343;115;2.0
23346;11;1.0
23346;72;1.0
23346;105;1.0
23346;14;1.0
23346;50;1.0
23349;51;1.0
23352;60;1.0
23352;108;1.0
23352;94;1.0
23355;78;1.0
23358;83;8.0
23358;88;3.0
23361;40;1.0
23361;46;1.0
23361;50;1.0
23364;30;1.0
23364;71;2.0
23364;32;1.0
23364;12;2.0
23364;72;1.0
23364;13;2.0
23364;109;6.0
23365;8;1.0
23368;23;1.0
